experiment_id,model,feature_set,class_weight,number_of_features_before_encoding,number_of_encoded_features,training_rows,validation_rows,precision,recall,f1,average_precision,roc_auc,tp,fp,tn,fn,predicted_fraud_count,predicted_fraud_rate,accuracy,brier_score,default_threshold,training_seconds,inference_seconds,solver,max_iter,converged,notes,model_version,train_rows,best_iteration,actual_tree_count,parameters,identity_features_included
lr-01-core-balanced,Logistic Regression,baseline_core,balanced,5,76,413378,88581,0.09244976659224681,0.598948060486522,0.16017582417582418,0.13518896071857245,0.7472469217300859,1822,17886,67653,1220,19708,0.2224856346169043,0.7843104051658933,0.17760480679066176,0.5,0.4009613329981221,0.03885779200209072,newton-cholesky,100,True,Validation only; Average Precision uses sklearn average_precision_score; classification metrics use fixed threshold 0.50. No fit warnings.,,,,,,
lr-02-core_time-balanced,Logistic Regression,baseline_core_time,balanced,6,77,413378,88581,0.07781111153305738,0.6735700197238659,0.1395063829787234,0.13314342012373068,0.7471683158792143,2049,24284,61255,993,26333,0.2972759395355663,0.7146453528409027,0.25232199824027896,0.5,0.4093808750003518,0.04078991600181325,newton-cholesky,100,True,Validation only; Average Precision uses sklearn average_precision_score; classification metrics use fixed threshold 0.50. No fit warnings.,,,,,,
lr-03-core_masked-balanced,Logistic Regression,baseline_core_masked,balanced,13,84,413378,88581,0.10282138425851,0.6265614727153189,0.17665322767505445,0.18328872191367465,0.7909108962366721,1906,16631,68908,1136,18537,0.20926609543807362,0.799426513586435,0.16993026161170113,0.5,1.048373707999417,0.05525787499936996,newton-cholesky,100,True,Validation only; Average Precision uses sklearn average_precision_score; classification metrics use fixed threshold 0.50. No fit warnings.,,,,,,
lr-04-core_identity-balanced,Logistic Regression,baseline_core_identity,balanced,9,1688,413378,88581,0.10209424083769633,0.5641025641025641,0.17289672544080603,0.15954356938460082,0.7413210055655202,1716,15092,70447,1326,16808,0.1897472369921315,0.814655513033269,0.16472378082061676,0.5,0.9935455409977294,0.07873599999948055,newton-cholesky,100,True,Validation only; Average Precision uses sklearn average_precision_score; classification metrics use fixed threshold 0.50. No fit warnings.,,,,,,
lr-05-conservative_combined-balanced,Logistic Regression,baseline_conservative_combined,balanced,17,1696,413378,88581,0.11342155009451796,0.591715976331361,0.19035532994923857,0.20032816989385402,0.7836003753250677,1800,14070,71469,1242,15870,0.17915805872591187,0.8271412605411996,0.1577253069949093,0.5,1.946814541999629,0.1095269580000604,newton-cholesky,100,True,Validation only; Average Precision uses sklearn average_precision_score; classification metrics use fixed threshold 0.50. No fit warnings.,,,,,,
lr-06-conservative_combined_time-balanced,Logistic Regression,baseline_conservative_combined_time,balanced,18,1697,413378,88581,0.07853829538614071,0.7291255752794215,0.14180225681680145,0.2000835555865717,0.7824347689996018,2218,26023,59516,824,28241,0.31881554735214096,0.6969214617130084,0.2153232994082384,0.5,2.024029625001276,0.11161495900159935,newton-cholesky,100,True,Validation only; Average Precision uses sklearn average_precision_score; classification metrics use fixed threshold 0.50. No fit warnings.,,,,,,
lr-07-conservative_combined-none,Logistic Regression,baseline_conservative_combined,none,17,1696,413378,88581,0.7233333333333334,0.07133464825772518,0.1298623578695392,0.23143384660363925,0.7934804128969273,217,83,85456,2825,300,0.0033867307887696005,0.9671712895541933,0.029639545911918738,0.5,2.099973874999705,0.10800029200254357,newton-cholesky,100,True,Validation only; Average Precision uses sklearn average_precision_score; classification metrics use fixed threshold 0.50. No fit warnings.,,,,,,
cb-01-combined-none,CatBoostClassifier,baseline_conservative_combined,none,17,not_applicable_native_categorical,413378,88581,0.7793964620187305,0.24621959237343852,0.3742193354983762,0.4277006121566094,0.8599783187123915,749,212,85327,2293,961,0.010848827626691954,0.9717207979137739,0.024808791495085764,0.5,209.0053837499945,0.16766487499990035,,,True,TRAIN fit and VALIDATION early stopping/evaluation only; Average Precision uses sklearn average_precision_score; classification metrics use fixed threshold 0.50; CatBoost early stopping metric=PRAUC:type=Classic; tree_count=999/1000. No fit warnings.,catboost-validation-v1,413378,998,999,"{""allow_writing_files"": false, ""depth"": 7, ""early_stopping_rounds"": 80, ""eval_metric"": ""PRAUC:type=Classic"", ""iterations"": 1000, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05, ""loss_function"": ""Logloss"", ""thread_count"": -1}",True
cb-02-combined-balanced,CatBoostClassifier,baseline_conservative_combined,Balanced,17,not_applicable_native_categorical,413378,88581,0.16082588402816234,0.668310322156476,0.25926162086335525,0.4103511173331595,0.8629137384219412,2033,10608,74931,1009,12641,0.14270554633612173,0.8688544947562118,0.10140100192765984,0.5,131.85581249999814,0.12956824999855598,,,True,TRAIN fit and VALIDATION early stopping/evaluation only; Average Precision uses sklearn average_precision_score; classification metrics use fixed threshold 0.50; CatBoost early stopping metric=PRAUC:type=Classic; tree_count=522/1000. No fit warnings.,catboost-validation-v1,413378,521,522,"{""allow_writing_files"": false, ""depth"": 7, ""early_stopping_rounds"": 80, ""eval_metric"": ""PRAUC:type=Classic"", ""iterations"": 1000, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05, ""loss_function"": ""Logloss"", ""thread_count"": -1}",True
cb-03-combined-sqrt-balanced,CatBoostClassifier,baseline_conservative_combined,SqrtBalanced,17,not_applicable_native_categorical,413378,88581,0.4920292977165015,0.37541091387245235,0.42588103673317174,0.41387638771106144,0.861800789638699,1142,1179,84360,1900,2321,0.02620200720244748,0.9652408530045946,0.033308306977698605,0.5,111.37815112499811,0.14661699999851407,,,True,TRAIN fit and VALIDATION early stopping/evaluation only; Average Precision uses sklearn average_precision_score; classification metrics use fixed threshold 0.50; CatBoost early stopping metric=PRAUC:type=Classic; tree_count=392/1000. No fit warnings.,catboost-validation-v1,413378,391,392,"{""allow_writing_files"": false, ""depth"": 7, ""early_stopping_rounds"": 80, ""eval_metric"": ""PRAUC:type=Classic"", ""iterations"": 1000, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05, ""loss_function"": ""Logloss"", ""thread_count"": -1}",True
